"ID";"DTHR";"PLACA";"BASE";"CODEMP";"EMBARQUE_ID";"ORIGEM";"DESTINO";"EMBARQUE_UNIT_ID";"COD_UNITIZADOR";"OCUPACAO";"TIPO";"NF_DOC";"OBS";"DTHR_RECEBIMENTO";"COLAB_RECEBIMENTO";"RETORNO_WMS";"OCUPACAO_RETORNO";"DTHR_RETORNO";"DTHR_FINALIZADO";"COLAB_FINALIZADO";"PALETE_REMONTE";"DOCA_DESTINO";"SOLICITOU_RECOLHE";"DTHR_CONFERENCIA";"COLAB_CONFERENCIA"
"20";"14/11/2023 16:16:57";"ABC";"L";"1";"1";"D";"19";"1243632";"0201570428";"1";"Abastecimento";"";"Itens no Palete: 16
REFRIG. PEPSI
PANETTONE VISCONTI F
CANELA B.GOSTO MOIDA
MASSA NISSIN LAMEN L
BATATA PALHA KI FRIT
ESPUMANTE GARIBALDI
ESPUMANTE SALTON MOS
VINHO MARCUS JAMES P
VINHO COUNTRY WINE R
VINHO ACQUASANTIERA
VINHO G.UNIAO MALVAS
VINHO G.UNIAO RIESLI
VINHO AURORA COLHEIT
VINHO MIORANZA TINTO
MISTURA ZELANDIA CHI
CERVEJA SPATEN MUNIC";"14/11/2023 16:18:23";"1";"";"";"";"";"";"";"";"";"14/11/2023 17:04:25";"1"
"21";"14/11/2023 16:16:57";"ABC";"L";"1";"1";"D";"19";"1243619";"0201570443";"1";"Abastecimento";"";"Itens no Palete: 6
LEITE TIROL ZERO LAC
MISTURA ZELANDIA CHI
PASSATA RUSTICA FUGI
LEITE TIROL DESN.C/T
PINTA LOCA AZUL FLAS
FORNO ELET.OSTER VER";"";"";"";"";"";"";"";"";"";"";"";""
"22";"14/11/2023 16:16:58";"ABC";"L";"1";"1";"D";"19";"1243609";"0201570445";"1";"Abastecimento";"";"Itens no Palete: 37
MISTURA ZELANDIA PAO
MISTURA ZELANDIA CHI
MARGARINA PRO-RICCA
MARGARINA PRO-RICCA
MARGARINA DELICIA CR
BOMBOM LACTA OURO BR
CHOC. NESTLE ALPINO
CHOC. NEUGEBAUER NAP
MARGARINA DORIANA LI
CERVEJA BRAHMA MALZB
CERVEJA BOHEMIA
CERVEJA EISENBAHN PI
VINHO BARTOLO TINTO
CERVEJA ANTARCTICA P
VINHO ACQUASANTIERA
AGUARDENTE CANINHA 8
VINHO G.UNIAO CABER.
VINHO BARTOLO TINTO
CERVEJA BRAHMA CHOPP
REFRIG. ANTARCTICA G
CAFE NESCAFE CAPPUC.
CAFE NESCAFE C/ACHO.
REFRESCO PO TANG LAR
CERVEJA SPATEN MUNIC
REFRIG. PEPSI
AGUA DE COCO CAMPO L
REFRESCO PO MID UVA
REFRESCO PO MID TANG
AGUA DE COCO NATURAL
CERVEJA HEINEKEN ZER
REFRIG. PEPSI COLA
REFRIG. ANTARCTICA G
AGUA MINERAL OURO FI
AGUA DE COCO MAIS CO
BEBIDA ENERG.RED BUL
BEBIDA ISOT.GATORADE
AGUA DE COCO SOCOCO";"";"";"";"";"";"";"";"";"";"";"";""
"23";"14/11/2023 16:16:58";"ABC";"L";"1";"1";"D";"19";"1243090";"0201570453";"1";"Abastecimento";"";"Itens no Palete: 23
FEIJAO CALDO BOM VER
FEIJAO CALDO BOM VER
BATATA PALHA KI FRIT
PAO DE MEL BARION CO
SALG. YOKITOS ANEIS
FEIJAO CALDO BOM CAR
FEIJAO CALDO BOM CAR
FEIJAO CALDO BOM VER
FEIJAO CALDO BOM VER
FEIJAO CALDO BOM CAR
FEIJAO CALDO BOM CAR
CERVEJA SCHNEIDER WE
FEIJAO CALDO BOM CAR
FEIJAO CALDO BOM CAR
BISNAGUINHA BAUDUCCO
ORGANIZ. ORDENE C/TR
ORGANIZ. ORDENE C/TR
ORGANIZ. ORDENE C/TR
ORGANIZ. ORDENE C/TR
FEIJAO CALDO BOM CAR
FEIJAO CALDO BOM CAR
FEIJAO CALDO BOM VER
FEIJAO CALDO BOM VER";"";"";"";"";"";"";"";"";"";"";"";""
"24";"14/11/2023 16:16:59";"ABC";"L";"1";"1";"D";"19";"1243011";"0201570464";"1";"Abastecimento";"";"Itens no Palete: 26
ORGANIZ. ORDENE C/TR
ENXAG.BUCAL PLAX MIN
PURIF. GLADE AERO B.
SACO LIXO VERSATIL R
SACO LIXO FELIZ REFO
SACO LIXO VERSATIL 1
SACO LIXO VERSATIL 1
SACO LIXO VERSATIL 5
LAVA ROUPAS PO GIRAN
LAVA ROUPAS PO BRILH
LAVA ROUPAS PO BRILH
LAVA ROUPAS PO TIXAN
ORGANIZ. ORDENE C/TR
ORGANIZ. ORDENE C/TR
LIMPADOR YPE PERF.VE
LIMPADOR YPE PERF.VE
CAIXA C/DIVISORIAS R
PURIF.GLADE LEM. 12M
LAVA LOUCA GEL YPE C
ORGANIZ. ORDENE C/TR
SACO ORDENE P/ARM.VA
SACO ORDENE P/ARM.VA
SACO ORDENE P/ARM.VA
PINTA LOCA AZUL FLAS
CAIXA MULT.ORDENE 2.
REPELENTE TCHAU MOSQ";"";"";"";"";"";"";"";"";"";"";"";""
"25";"14/11/2023 16:17:00";"ABC";"L";"1";"1";"D";"19";"1243023";"0201570465";"1";"Abastecimento";"";"Itens no Palete: 52
LAVA LOUCA GEL YPE C
SACO ORDENE P/ARM.VA
ORGANIZ. ORDENE C/TR
LIMPADOR YPE PERF.VE
LIMPADOR YPE PERF.VE
SABAO YPE NATURAL 18
ENXAG.BUCAL PLAX MIN
PINTA LOCA AZUL FLAS
ORGANIZ. ORDENE C/TR
ODORIZANTE N.FRESH R
ESCOVA DENT ORAL B.P
COLOR.BEAUTY COLOR C
SAND.HAV.TOP MARINHO
ESMALTE COLOR.CREM.B
COLOR.KOLESTON LOURO
COLOR.KOLESTON AMORA
PALHETA LUXCAR PREMI
ODORIZANTE LUXCAR N.
NOVO MILKE VITAMINA
ESCOVA DENT.BITUFO P
ESCOVA DENT SANIFILL
CONDIC. DOVE HIDRA.L
SHAMPOO DOVE HIDRA.L
MASCARA PANTENE BAMB
CREME PANTENE PENT.
SHAMPOO SPRAY RICCA
SHAMPOO SEDA OLEO RI
MASCARA PANTENE HIDR
SAB. PALMOLIVE FRAMB
AMPOLA PANTENE FORCA
ENXAG.BUCAL TOT. 12
SAB. PALM.NAT.HIDRAT
COLOR.MINI COR&amp;TON L
ESCOVA DENT SORRISO
SAB. DOVE GO FRESH R
CONDIC. SEDA KERAFOR
SHAMPOO SEDA QUERAFO
SHAMPOO SEDA LISO PE
CREME PANTENE PENT.
SAB. LIQ.INT.PROTEX
SAB. DOVE KARITE/BAU
SHAMPOO H.SHOULDERS
ESCOVA DENT CONDOR A
CONDIC. DOVE RECONST
ESCOVA DENT COLG EXT
CONDIC. DOVE JOJOBA
SHAMPOO PANTENE COLA
SAB. DOVE MANTEIGA.K
SAB. DOVE HIDRATANTE
SHAMPOO H.SHOULDERS
ESCOVA DENT SANIFIL
SACO ORDENE P/ARM.VA";"";"";"";"";"";"";"";"";"";"";"";""
"26";"14/11/2023 16:17:00";"ABC";"L";"1";"1";"D";"19";"1243087";"0201570467";"1";"Abastecimento";"";"Itens no Palete: 9
LIMPADOR YPE PERF.VE
ORGANIZ. ORDENE C/TR
SACO ORDENE P/ARM.VA
ORGANIZ. ORDENE C/TR
CABIDE PRIM PLAST AD
PANELA PRESS.TRAM.AC
ORGANIZ. ORDENE C/TR
LIMPADOR YPE PERF.VE
ORGANIZ. ORDENE C/TR";"";"";"";"";"";"";"";"";"";"";"";""
"27";"14/11/2023 16:17:00";"ABC";"L";"1";"1";"D";"19";"1243019";"0201570469";"1";"Abastecimento";"";"Itens no Palete: 30
PALITO DENTE GINA
CAIXA C/DIVISORIAS J
LAVA LOUCA GEL YPE C
PURIF. GLADE AERO B.
CABIDE PRIM PLAST AD
PINTA LOCA ROSA FLAS
LIMPADOR YPE PERF.VE
PINTA LOCA AZUL FLAS
KIT COLCHA BETT DESI
ORGANIZ. ORDENE C/TR
LIMPADOR YPE PERF.VE
CAIXA MULT.ORDENE 75
CAIXA C/DIVISORIAS R
SACO ORDENE P/ARM.VA
SACO ORDENE P/ARM.VA
COPO COPOSUL 200ML B
ABS. INC.PLEN.FEMME
ABS.INTIMUS ULTRAFIN
ABS.INTIMUS NOT SECA
ABS.INTIMUS NOT SUAV
CREME PREV.ASSAD.HUG
TOALHA UMED.HUGGIES
ALGODAO COTTONBABY D
TOALHA UMED.COTTONB.
COPO CRISTALCOPO PP
ALGODAO COTTONBABY R
ABS. S.LIVRE A.PLUS.
ALGODAO BELLACOTTON
SHAMPOO JOHNSONS BAB
LENCO UMED.INTIMUS F";"";"";"";"";"";"";"";"";"";"";"";""
"28";"14/11/2023 16:17:00";"ABC";"L";"1";"1";"D";"19";"1242639";"0201570471";"1";"Abastecimento";"";"Itens no Palete: 20
CONC.PAMIX P/PREP. P
ALIMENTO SILK CASTAN
BEBIDA ENERG.BALY ME
BEBIDA ENERG.BALY CO
VODKA INTENCION
BEBIDA ENERG. BALY
CERVEJA BRAHMA EX.LA
CERVEJA DEVASSA P.MA
AGUA TONICA ANTARCTI
BEBIDA ENERG. BALY C
BEBIDA ENERG. BALY M
BEBIDA ENERG.BALY MA
PAPEL HIG. TENDERLY
CONDIC. SEDA COLAGEN
MILHO PIP. YOKI MO N
MASSA NISSIN TALHARI
MASSA BARILLA SPAGHE
MASSA RENATA INST.CR
MISTURA ZELANDIA SAL
MASSA URBANO S/GLUT.";"";"";"";"";"";"";"";"";"";"";"";""
"29";"14/11/2023 16:17:00";"ABC";"L";"1";"1";"D";"19";"1242651";"0201570472";"1";"Abastecimento";"";"Itens no Palete: 14
ARROZ BOBY CACHORRO
ALIMENTO SILK CASTAN
FARINHA TRIGO D.BENT
GRELHA SUPER GRILL M
CADEIRA MOR ACO VARA
GRELHA PARRILLA MOR
ARROZ URBANO PARBOIL
MISTURA BOLO OETKER
MISTURA BOLO ORQUIDE
POLVILHO AZEDO KANTY
SAL DIANA REFINADO
SAL CISNE REFINADO E
MILHARINA QUAKER
MISTURA BOLO OETKER";"";"";"";"";"";"";"";"";"";"";"";""
